电影名称,评分,演员,网址
龙岭迷窟,8.3,"['潘粤明', '张雨绮', '姜超', '高伟光', '佟磊']",https://movie.douban.com/subject/30488569/
利刃出鞘,8.2,"['丹尼尔·克雷格', '安娜·德·阿玛斯', '克里斯·埃文斯', '杰米·李·柯蒂斯', '迈克尔·珊农']",https://movie.douban.com/subject/30318116/
真心半解,8.1,"['莉娅·刘易斯', '丹尼尔·迪默', '艾丽克西斯·勒梅尔', '沃尔夫冈·诺沃格拉茨', '邹兆龙']",https://movie.douban.com/subject/33420285/
惊天营救,7.1,"['克里斯·海姆斯沃斯', '大卫·哈伯', '格什菲·法拉哈尼', '德里克·卢克', '兰迪普·弘达']",https://movie.douban.com/subject/30314127/
少年的你,8.3,"['周冬雨', '易烊千玺', '尹昉', '周也', '吴越']",https://movie.douban.com/subject/30166972/
肖申克的救赎,9.7,"['蒂姆·罗宾斯', '摩根·弗里曼', '鲍勃·冈顿', '威廉姆·赛德勒', '克兰西·布朗']",https://movie.douban.com/subject/1292052/
千与千寻,9.4,"['柊瑠美', '入野自由', '夏木真理', '菅原文太', '中村彰男']",https://movie.douban.com/subject/1291561/
疯狂动物城,9.2,"['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯']",https://movie.douban.com/subject/25662329/
我不是药神,9.0,"['徐峥', '王传君', '周一围', '谭卓', '章宇']",https://movie.douban.com/subject/26752088/
泰坦尼克号,9.4,"['莱昂纳多·迪卡普里奥', '凯特·温丝莱特', '比利·赞恩', '凯西·贝茨', '弗兰西丝·费舍']",https://movie.douban.com/subject/1292722/
哪吒之魔童降世,8.5,"['吕艳婷', '囧森瑟夫', '瀚墨', '陈浩', '绿绮']",https://movie.douban.com/subject/26794435/
霸王别姬,9.6,"['张国荣', '张丰毅', '巩俐', '葛优', '英达']",https://movie.douban.com/subject/1291546/
阿甘正传,9.5,"['汤姆·汉克斯', '罗宾·怀特', '加里·西尼斯', '麦凯尔泰·威廉逊', '莎莉·菲尔德']",https://movie.douban.com/subject/1292720/
这个杀手不太冷,9.4,"['让·雷诺', '娜塔莉·波特曼', '加里·奥德曼', '丹尼·爱罗', '彼得·阿佩尔']",https://movie.douban.com/subject/1295644/
摔跤吧！爸爸,9.0,"['阿米尔·汗', '法缇玛·萨那·纱卡', '桑亚·玛荷塔', '阿帕尔夏克提·库拉那', '沙克希·坦沃']",https://movie.douban.com/subject/26387939/
怦然心动,9.1,"['玛德琳·卡罗尔', '卡兰·麦克奥利菲', '瑞贝卡·德·莫妮', '安东尼·爱德华兹', '约翰·马奥尼']",https://movie.douban.com/subject/3319755/
三傻大闹宝莱坞,9.2,"['阿米尔·汗', '卡琳娜·卡普尔', '马达范', '沙尔曼·乔希', '奥米·瓦依达']",https://movie.douban.com/subject/3793023/
流浪地球,7.9,"['屈楚萧', '吴京', '李光洁', '吴孟达', '赵今麦']",https://movie.douban.com/subject/26266893/
误杀,7.7,"['肖央', '谭卓', '陈冲', '姜皓文', '秦沛']",https://movie.douban.com/subject/30176393/
我是余欢水,7.4,"['郭京飞', '苗苗', '高露', '岳旸', '高叶']",https://movie.douban.com/subject/33442331/
